Era	Tempo Category	No of tracks
1920s	Adagio	1
1920s	Larghissimo	1
1920s	Adagietto	3
1920s	Prestissimo	5
1920s	Andante_moderato	6
1920s	Marcia _moderato	7
1920s	Presto	8
1920s	Andante	10
1920s	Andantino	10
1920s	Vivacissimo	11
1920s	Vivace	12
1920s	Allegrissimo	18
1920s	Allegro	39
1920s	Allegretto	44
1920s	Moderato	50
 	 	   
1930s	Grave	1
1930s	Larghetto	1
1930s	Lento	2
1930s	Adagietto	3
1930s	Andante_moderato	3
1930s	Adagio	6
1930s	Andante	6
1930s	Vivace	6
1930s	Prestissimo	8
1930s	Presto	9
1930s	Vivacissimo	9
1930s	Marcia _moderato	16
1930s	Allegrissimo	19
1930s	Andantino	21
1930s	Allegro	32
1930s	Allegretto	52
1930s	Moderato	58
 	 	   
1940s	Largo	1
1940s	Larghetto	1
1940s	Grave	3
1940s	Andante_moderato	6
1940s	Prestissimo	7
1940s	Adagietto	9
1940s	Presto	11
1940s	Adagio	11
1940s	Vivace	13
1940s	Marcia _moderato	13
1940s	Andante	18
1940s	Allegrissimo	21
1940s	Vivacissimo	26
1940s	Andantino	33
1940s	Moderato	52
1940s	Allegretto	65
1940s	Allegro	66
 	 	   
1950s	Larghissimo	3
1950s	Largo	17
1950s	Larghetto	17
1950s	Grave	18
1950s	Lento	27
1950s	Adagietto	59
1950s	Marcia _moderato	60
1950s	Andante_moderato	64
1950s	Adagio	100
1950s	Presto	102
1950s	Andante	109
1950s	Andantino	138
1950s	Vivace	157
1950s	Vivacissimo	183
1950s	Prestissimo	190
1950s	Allegrissimo	256
1950s	Moderato	423
1950s	Allegretto	424
1950s	Allegro	757
 	 	   
1960s	Larghissimo	6
1960s	Grave	25
1960s	Larghetto	38
1960s	Lento	44
1960s	Largo	46
1960s	Adagietto	133
1960s	Andante_moderato	146
1960s	Adagio	168
1960s	Marcia _moderato	205
1960s	Andante	257
1960s	Andantino	351
1960s	Presto	385
1960s	Prestissimo	630
1960s	Vivacissimo	709
1960s	Vivace	740
1960s	Allegrissimo	956
1960s	Moderato	1695
1960s	Allegretto	1836
1960s	Allegro	3371
 	 	   
1970s	Larghissimo	12
1970s	Grave	21
1970s	Largo	33
1970s	Larghetto	47
1970s	Lento	50
1970s	Adagietto	164
1970s	Andante_moderato	189
1970s	Adagio	223
1970s	Marcia _moderato	353
1970s	Andante	394
1970s	Andantino	628
1970s	Presto	994
1970s	Prestissimo	1957
1970s	Vivacissimo	2021
1970s	Vivace	2053
1970s	Allegrissimo	2600
1970s	Allegretto	2894
1970s	Moderato	2937
1970s	Allegro	7178
 	 	   
1980s	Larghissimo	38
1980s	Grave	65
1980s	Lento	71
1980s	Largo	75
1980s	Larghetto	75
1980s	Adagietto	238
1980s	Andante_moderato	269
1980s	Adagio	328
1980s	Marcia _moderato	495
1980s	Andante	516
1980s	Andantino	829
1980s	Presto	1472
1980s	Prestissimo	3295
1980s	Vivace	3485
1980s	Vivacissimo	3553
1980s	Allegrissimo	4178
1980s	Moderato	4658
1980s	Allegretto	5061
1980s	Allegro	13126
 	 	   
1990s	Largo	271
1990s	Lento	288
1990s	Grave	299
1990s	Larghetto	313
1990s	Larghissimo	323
1990s	Andante_moderato	999
1990s	Adagietto	1088
1990s	Adagio	1413
1990s	Marcia _moderato	1700
1990s	Andante	1877
1990s	Andantino	2906
1990s	Presto	4818
1990s	Vivace	9057
1990s	Vivacissimo	9213
1990s	Prestissimo	10755
1990s	Allegrissimo	12855
1990s	Allegretto	15819
1990s	Moderato	17920
1990s	Allegro	32894
  	 	   
21st century	Lento	581
21st century	Grave	669
21st century	Largo	709
21st century	Larghetto	724
21st century	Larghissimo	1013
21st century	Andante_moderato	2292
21st century	Adagietto	2387
21st century	Adagio	3392
21st century	Andante	4372
21st century	Marcia _moderato	4431
21st century	Andantino	7191
21st century	Presto	11545
21st century	Vivace	23315
21st century	Prestissimo	23918
21st century	Vivacissimo	25015
21st century	Allegrissimo	31844
21st century	Allegretto	34830
21st century	Moderato	44552
21st century	Allegro	85735
